Name,Type,D_nominal,Z_ref,BL,Cms,Mms,Re,Qes,Qms,Qts,n0,Sd,f1,f2,Zmax,Xmax,Xmech,fmin,fmax,fs,P_rms,P_max,SPL_ref,V_ref,Vas,F3_sealed,F3_ported,Volume_sealed,Volume_ported,Weight,Price,Test
Purifi Audio PTT10.0X04-NAB-01,Woofer,10.0,4,12.6,0.00062,0.0994,3.9,0.35,5.5,0.33,,0.03597,,,68.0,14.75,25.0,,,24.0,,,88.0,2.83,82.0,,,,,6.0,900,https://audioxpress.com/article/test-bench-purifi-audio-ptt10-0x04-nab-01-10-midbass-woofer
Radian 475PB,Compression,1.0,8,,,,6.2,,,,,,,,,,,1000.0,25000.0,,50,100,109.5,2.83,,,,,,2.9,250,https://audioxpress.com/article/test-bench-radian-audio-engineering-475pb-1-inch-compression-driver
Radian 745PB,Compression,1.4,8,,,,6.2,,,,,,,,,,,500.0,20000.0,,100,200,109.5,2.83,,,,,,5.09,325,https://audioxpress.com/article/test-bench-radian-audio-engineering-745pb-1-4-compression-driver
Radian 835PB,Compression,1.4,8,,,,6.2,,,,,,,,,,,500.0,20000.0,,100,200,110.5,2.83,,,,,,6.63,400,https://audioxpress.com/article/test-bench-radian-audio-835pb-1-4-ferrite-compression-driver
Radian 951PB,Compression,1.4,8,,,,5.4,,,,,,,,,,,500.0,20000.0,,125,250,111.5,2.83,,,,,,5.45,640,https://audioxpress.com/article/test-bench-the-951pb-1-4-compression-driver-from-radian-audio-engineering
Radian 950PB,Compression,2.0,8,,,,5.4,,,,,,,,,,,500.0,22000.0,,125,250,113.0,2.83,,,,,,2.09,625,https://audioxpress.com/article/test-bench-radian-audio-engineering-950pb-and-760neopb-compression-drivers
RCF ND950,Compression,2.0,8,,,,8.5,,,,,,,,,,,500.0,20000.0,,140,280,110.0,2.83,,,,,,3.82,320,https://audioxpress.com/article/Test-Bench-RCF-ND950-Neodymium-Compression-Driver-and-HF950-Horn
SB Acoustics TW29DN-B,Tweeter,1.0,4,3.2,,,3.0,0.57,1.66,0.43,,0.00096,,,,0.25,,,,650.0,80,160,96.0,2.83,,,,,,0.39,150,https://audioxpress.com/article/test-bench-the-sb-acoustics-satori-tw29dn-b-8-tweeter
SB Acoustics TW29BNWG-4,Tweeter,1.0,4,3.1,,,3.0,0.6,2.1,0.46,,0.00096,,,,0.25,,,,700.0,80,160,97.0,2.83,,,,,,0.46,500,https://audioxpress.com/article/test-bench-the-tw29bnwg-beryllium-dome-and-waveguide-from-the-sb-acoustics
SB Acoustics SB12MNRX2-25-4,Woofer,4.0,4,3.9,0.0015,0.0042,3.2,0.35,4.19,0.32,,0.0050,,,,2.2,,,,63.5,50,100,90.5,2.83,5.3,,,,,0.92,61,
SB Acoustics SB34NRX75-6,Woofer,12.0,6,10.7,0.00071,0.099,4.2,0.43,5.1,0.4,,0.0508,,,,11.0,,,,19.0,200,400,90.0,2.83,260.0,,,,,6.02,220,
SB Acoustics SB34NRXL75-8,Woofer,12.0,8,16.6,0.00056,0.093,6.2,0.29,5.5,0.28,,0.0508,,,,10.0,,,,22.0,200,400,91.0,2.83,205.0,,,,,8.9,310,
Scan-Speak 28W/4878T00,Woofer,10.0,4,11.2,0.00068,0.1145,3.8,0.32,5.6,0.3,,0.0363,,,,14.0,26.0,18.0,1000.0,18.0,200,500,88.0,2.83,127.0,39,24,35.0,65.0,7.5,700,https://audioxpress.com/article/test-bench-scan-speak-28w-4578t00-10-subwoofer
Scan-Speak 30W/4558T00,Woofer,12.0,4,10.5,0.00065,0.135,3.3,0.34,5.01,0.32,,0.0466,,,,12.5,28.0,17.0,1500.0,17.0,150,350,89.0,2.83,197.0,34,20,67.0,132.0,,350,
Scan-Speak 32W/4878T00,Woofer,13.0,4,12.5,0.00052,0.150,3.1,0.33,7.0,0.32,,0.0526,,,,14.0,28.0,18.0,2000.0,18.0,200,550,90.0,2.83,203.9,36,21,67.0,129.0,7.5,700,https://audioxpress.com/article/test-bench-scan-speak-32w-4878t00-subwoofer
Scan-Speak 32W/4878T01,Woofer,13.0,4,13.0,0.00043,0.112,3.1,0.3,6.0,0.28,,0.0526,,,,7.0,28.0,23.0,1500.0,23.0,150,400,92.0,2.83,170.0,53,34,40.0,69.0,7.5,700,
Supravox 215 GMF,Woofer,8.0,8,9.7,,0.013,8.0,0.38,8.57,0.36,,0.0253,,,,3.7,,50.0,4000.0,54.0,40,80,96.0,2.83,60.0,,,,,,480,
Supravox 285 GMF,Woofer,11.0,8,10.55,,0.0197,6.5,0.345,8.86,0.33,,0.04426,,,,3.4,,40.0,7000.0,47.8,70,140,100.0,2.83,157.0,,,,,,330,
Supravox 400 GMF,Woofer,16.0,8,18.2908,0.00047,0.0621385,6.5,0.1432,7.5492,0.14,,0.0855,,,,10.0,,19.0,4000.0,18.87,120,240,98.5,2.83,490.0,,,,,,750,
Supravox 400-2000 EXC,Woofer,16.0,8,17.53,0.0005,0.066,6.5,0.184,9.1932,0.1805,,0.0855,,,,10.0,,23.0,4000.0,22.0,120,240,98.16,2.83,681.0,,,,,10.7,1350,
TAD TD-2002,Compression,1.0,8,,,,,,,,,,,,,,,450.0,27000.0,,20,40,111.0,2.83,,,,,,6.9,3050,
TAD TD-4001,Compression,2.0,16,,,,,,,,,,,,,,,600.0,20000.0,,30,60,107.0,2.83,,,,,,12.6,5000,
TAD TL-1601b,Woofer,16.0,8,20.5,0.000276,0.117,6.6,0.32,6.8,0.31,0.020,0.0881,,,,8.0,18.0,28.0,2000.0,28.0,200,500,97.5,2.83,304.0,,,,,13.0,1800,
TAD TL-1801,Woofer,18.0,8,21.0,0.000237,0.158,6.6,0.39,7.9,0.37,0.022,0.122,,,,7.5,20.0,26.0,2000.0,26.0,200,800,96.5,2.83,500.0,,,,,12.6,2030,
Volt Loudspeakers VM527,Midrange,2.0,8,,,,5.5,,,,,0.002827,,,40.0,1.0,1.0,500.0,4500.0,502.0,75,150,91.0,2.83,,,,,,2.2,280,https://audioxpress.com/article/test-bench-volt-loudspeakers-vm527-midrange
Volt Loudspeakers VM752,Midrange,3.0,8,9.3,0.0004,0.004,6.3,0.81,9.53,0.75,,0.0057,,,89.5,1.0,2.0,500.0,4000.0,400.0,100,200,94.0,2.83,0.16,,,,,9.0,670,https://audioxpress.com/article/test-bench-volt-loudspeakers-vm752-3-midrange-dome-driver
Volt Loudspeakers RV2500,Woofer,10.0,8,13.9,0.00047,0.069,5.9,0.38,2.58,0.33,,0.0330,,,,12.0,18.0,20.0,500.0,28.0,250,500,89.0,2.83,71.78,,22,,100.0,5.8,460,
Volt Loudspeakers RV2501,Woofer,10.0,8,13.9,0.0003,0.05522,5.3,0.37,3.19,0.33,,0.0330,,,,5.0,10.0,30.0,800.0,39.0,250,500,91.0,2.83,47.03,,35,,80.0,5.2,440,
Volt Loudspeakers RV3143,Woofer,12.0,8,18.0,0.00027,0.076,6.1,0.32,5.35,0.3,,0.0473,24.26,50.50,95.0,5.2,18.0,29.0,700.0,35.0,300,600,91.5,2.83,86.0,,29,,110.0,6.8,570,https://audioxpress.com/article/test-bench-volt-rv3143-studio-monitor-woofer
Volt Loudspeakers RV3863,Woofer,15.0,8,19.3,0.000253,0.119,5.8,0.33,4.03,0.31,,0.0760,,,42.5,7.5,19.0,25.0,500.0,29.0,400,800,94.0,2.83,205.0,,29,,200.0,10.8,780,
Volt Loudspeakers RV4564,Woofer,18.0,8,25.7,0.00016,0.235,5.8,0.34,3.94,0.31,,0.1029,,,68.0,12.5,22.0,30.0,500.0,26.0,750,1500,93.0,2.83,238.0,,23,,300.0,17.0,1000,
Wavecor TW030WA22,Tweeter,1.0,8,,,,6.6,,,,,0.0011,,,,0.4,,2000.0,25000.0,780.0,65,200,91.0,2.83,,,,,,0.4,125,
Wavecor WF211PA01,Woofer,8.0,4,10.7,0.00028,0.026,3.1,0.26,5.8,0.25,,0.0214,,,,2.0,,80.0,1000.0,59.0,170,350,96.5,2.83,18.2,,,,,5.0,400,https://audioxpress.com/article/test-bench-wavecor-s-new-wf211pa01-8-25-pa-woofer
